date,open,close,high,low,volume,money
2022-08-29,3203.1,3240.73,3240.73,3199.0,29701509700.0,363729979800.0
2022-08-30,3240.18,3227.22,3243.75,3212.63,29431891400.0,353775673800.0
2022-08-31,3216.53,3202.14,3232.02,3184.39,34440882900.0,431758007400.0
2022-09-01,3196.54,3184.98,3214.56,3181.63,27466054100.0,336978641200.0
2022-09-02,3189.64,3186.48,3198.28,3173.79,25045691100.0,313337604100.0
2022-09-05,3183.95,3199.91,3199.91,3172.04,28067563300.0,339591536300.0
2022-09-06,3207.93,3243.45,3244.64,3203.82,31886968900.0,378636070300.0
2022-09-07,3232.14,3246.29,3253.77,3227.82,30101446600.0,368608741500.0
2022-09-08,3245.56,3235.59,3253.7,3233.8,28168035800.0,328657091600.0
2022-09-09,3241.18,3262.05,3266.2,3236.51,28382766500.0,338566713300.0
2022-09-13,3272.05,3263.8,3278.17,3259.66,27618982300.0,339021890600.0
2022-09-14,3224.68,3237.54,3250.8,3221.96,25519336500.0,306452822200.0
2022-09-15,3248.97,3199.92,3254.18,3174.39,32520612100.0,392490591500.0
2022-09-16,3189.83,3126.4,3191.83,3126.4,31647589300.0,355085342900.0
2022-09-19,3122.75,3115.6,3135.56,3101.22,24911366200.0,289918817100.0
2022-09-20,3127.84,3122.41,3140.03,3114.04,21994253400.0,268600300200.0
2022-09-21,3116.01,3117.18,3129.82,3091.3,23297249600.0,269513754500.0
2022-09-22,3098.77,3108.91,3125.68,3092.82,22114068900.0,269978597600.0
2022-09-23,3106.81,3088.37,3124.66,3072.24,24305771900.0,285552915200.0
2022-09-26,3067.57,3051.23,3102.65,3048.51,26269862800.0,293536440800.0
2022-09-27,3056.39,3093.86,3094.04,3048.37,23273530300.0,290065702700.0
2022-09-28,3089.1,3045.07,3089.1,3044.86,23009865000.0,276039741600.0
2022-09-29,3067.47,3041.2,3076.76,3026.08,23003041600.0,276441059400.0
2022-09-30,3042.17,3024.39,3054.61,3021.93,20411533600.0,240262768400.0
2022-10-10,3026.94,2974.15,3029.45,2968.28,24340482800.0,290120024200.0
2022-10-11,2978.06,2979.79,2986.91,2953.5,20863595000.0,246715637000.0
2022-10-12,2976.72,3025.51,3025.51,2934.09,24801355700.0,306871328800.0
2022-10-13,3008.3,3016.36,3036.25,3004.5,24968328100.0,317764786700.0
2022-10-14,3035.03,3071.99,3084.27,3035.03,27730406100.0,372050694600.0
2022-10-17,3060.52,3084.94,3087.19,3052.71,26260861800.0,349214469700.0
2022-10-18,3094.93,3080.96,3099.92,3074.22,24563475700.0,326002905400.0
2022-10-19,3073.26,3044.38,3081.39,3044.38,23089531000.0,313108348700.0
2022-10-20,3029.3,3035.05,3070.26,3013.69,24473614500.0,340091337800.0
2022-10-21,3038.04,3038.93,3055.42,3026.96,24525412200.0,315110985800.0
2022-10-24,3034.75,2977.56,3064.42,2965.17,29808535600.0,394725942500.0
2022-10-25,2969.16,2976.28,3001.72,2944.26,25555416000.0,337519280800.0
2022-10-26,2977.56,2999.5,3028.35,2977.56,26868949200.0,372845274600.0
2022-10-27,3005.04,2982.9,3017.26,2981.69,26560825400.0,381330371100.0
2022-10-28,2967.02,2915.93,2974.24,2908.98,29253130800.0,385261361900.0
2022-10-31,2893.2,2893.48,2926.02,2885.09,30199420300.0,396654162100.0
2022-11-01,2899.5,2969.2,2969.2,2896.76,31980957800.0,431015902900.0
2022-11-02,2960.65,3003.37,3019.05,2954.95,32507824800.0,457581522000.0
2022-11-03,2981.2,2997.81,3003.72,2977.72,25934856700.0,370653283800.0
2022-11-04,2997.0,3070.8,3081.59,2997.0,32980674000.0,458770093700.0
2022-11-07,3062.86,3077.82,3088.19,3054.46,32056709700.0,424429131500.0
2022-11-08,3077.31,3064.49,3078.28,3047.46,25652200700.0,338966942000.0
2022-11-09,3064.46,3048.17,3073.92,3046.19,23563732400.0,306860895700.0
2022-11-10,3031.69,3036.13,3047.98,3022.85,27037179800.0,335925917700.0
2022-11-11,3099.65,3087.29,3117.74,3070.3,40960453400.0,513784597300.0
2022-11-14,3100.87,3083.4,3121.41,3075.22,36178821600.0,454546731400.0
2022-11-15,3081.13,3134.08,3135.59,3074.5,33147057700.0,446460007900.0
2022-11-16,3133.65,3119.98,3145.75,3115.35,30342984400.0,386992905100.0
2022-11-17,3110.96,3115.43,3115.44,3087.17,28702840700.0,377900109300.0
2022-11-18,3116.73,3097.24,3126.71,3096.89,29995427600.0,389207386500.0
2022-11-21,3078.06,3085.04,3085.24,3056.17,25604554900.0,345025496500.0
2022-11-22,3084.23,3088.94,3118.12,3076.32,32756592700.0,374142821100.0
2022-11-23,3084.74,3096.91,3108.24,3075.32,32615544900.0,356400844300.0
2022-11-24,3104.1,3089.31,3113.24,3084.86,26748292800.0,308190185800.0
2022-11-25,3085.46,3101.69,3111.42,3077.97,31143197900.0,325426338400.0
2022-11-28,3055.29,3078.55,3080.18,3034.7,30581128400.0,338549350800.0
2022-11-29,3096.11,3149.75,3152.0,3096.11,39144974800.0,439102619300.0
2022-11-30,3141.4,3151.34,3158.57,3137.37,37271832100.0,404504379300.0
2022-12-01,3187.99,3165.47,3198.41,3164.53,38701305600.0,462184974000.0
2022-12-02,3160.58,3156.14,3170.9,3149.84,30781248400.0,366318678800.0
2022-12-05,3181.92,3211.81,3213.44,3177.06,44739843700.0,479203617400.0
2022-12-06,3200.28,3212.53,3224.82,3195.08,37359029600.0,435248700200.0
2022-12-07,3204.94,3199.62,3226.08,3188.67,35411307800.0,402146133100.0
2022-12-08,3196.02,3197.35,3206.72,3187.26,32096929400.0,364935622700.0
2022-12-09,3197.12,3206.95,3212.11,3182.91,37334320900.0,447750222000.0
2022-12-12,3195.87,3179.04,3196.72,3176.58,33338179200.0,394919615200.0
2022-12-13,3179.44,3176.33,3187.2,3171.48,28582120000.0,333539763000.0
2022-12-14,3178.55,3176.53,3189.84,3168.59,26562356900.0,333950671100.0
2022-12-15,3177.2,3168.65,3179.1,3158.45,24302333300.0,305204998600.0
2022-12-16,3156.13,3167.86,3175.35,3151.61,25977179500.0,307227738400.0
2022-12-19,3165.31,3107.12,3170.26,3096.1,27851354100.0,307934621500.0
2022-12-20,3098.95,3073.77,3100.75,3061.51,21883676600.0,261716073400.0
2022-12-21,3078.33,3068.41,3085.8,3060.55,18906792000.0,226852792600.0
2022-12-22,3085.8,3054.43,3096.24,3044.6,22363953700.0,266315477400.0
2022-12-23,3038.84,3045.87,3061.87,3031.54,19202030500.0,233335246200.0
2022-12-26,3048.2,3065.56,3071.84,3047.35,20650389300.0,255470265300.0
2022-12-27,3077.75,3095.57,3098.08,3074.31,22221832200.0,267946785400.0
2022-12-28,3088.62,3087.4,3098.65,3079.43,22455415100.0,260508525700.0
2022-12-29,3076.73,3073.7,3086.0,3064.46,21557067600.0,253916981200.0
2022-12-30,3084.52,3089.26,3096.31,3082.2,21754534400.0,250355950900.0
