,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
26,181771,300033.XSHE,2022-12-31,2023-02-28,2022-12-31,3.15,1606750514.2,1730866632.53,291980.16,24.6494,23.4188,19.2961,47.5167,89.6147,51.3684,51.7284,47.5167,10.3374,34.4978,-5.1771,93.9806,0.0159,95.0074,105.5338,49.1582,101.0828,1.4038,,1.4038,,-12.1479,,-11.5121,,-11.5121,
27,181772,002138.XSHE,2022-12-31,2023-02-28,2022-12-31,0.54,368133486.96,601021851.51,-12816194.03,7.8091,6.6384,5.0777,12.3879,32.9986,85.819,13.7201,12.3879,1.9322,14.4773,1.2029,104.1163,-2.2202,85.009,96.2344,25.107,177.0464,-7.4084,,-7.4084,,-38.4625,,-38.2255,,-44.8078,
28,181773,002616.XSHE,2022-12-31,2023-02-28,2022-12-31,0.10300000000000001,62976919.12,75197461.97,10152835.69,3.0902,2.5473,0.8059999999999999,2.2933,16.8292,97.804,3.2866,2.2933,,6.1318,7.414,67.3219,9.0895,82.4317,90.5688,14.7897,673.4681,10.844000000000001,,10.844000000000001,,162.7449,,141.6358,,139.7027,
29,181774,300496.XSHE,2022-12-31,2023-02-28,2022-12-31,1.7745,675279796.39,642781324.59,23567712.57,10.7858,9.4741,8.0715,13.3104,39.2859,88.196,14.1629,13.3104,3.063,24.3616,-0.2381,84.0825,3.0829,87.8388,101.5362,9.125,77.3047,31.9553,,31.9553,,17.8851,,15.0171,,18.7716,
30,181775,688091.XSHG,2022-12-31,2023-03-01,2022-12-31,0.99,102786775.9,129830627.96,12892744.49,11.4526,8.2404,11.1817,60.5428,92.8081,44.977,64.2436,60.5428,37.7318,7.4327,-7.7628,86.8075,8.6204,71.9519,87.205,46.9512,85.3302,5686.7543,,5686.7543,,1733.2259,,3674.0078,,3674.0078,
31,181777,003037.XSHE,2022-12-31,2023-03-01,2022-12-31,0.31,135551141.17,209694984.18,-2174218.54,8.9208,7.7676,2.8102,2.2868,11.628,96.8466,3.2784,2.2868,2.7006,4.2399,0.9570000000000001,97.6425,-1.0124,87.0722,79.7918,1.17,37.1027,-18.6018,,-18.6018,,85.2131,,101.354,,98.8564,
32,181778,000988.XSHE,2022-12-31,2023-03-01,2022-12-31,0.9,721258631.02,728322617.23,245488540.18,11.5969,9.2313,5.8062,7.4146,19.162,93.9362,8.3789,7.4146,5.0591,8.2531,-0.715,72.1692,24.3254,79.6018,81.4714,4.8224,79.5271,18.1403,,18.1403,,22.3834,,19.0517,,19.0675,
33,181779,603317.XSHG,2022-12-31,2023-03-02,2022-12-31,0.4548,291100722.28,346651910.55,54304318.73,8.7343,7.4408,7.5255,12.6588,34.2204,87.1167,15.0822,12.6588,14.4179,6.7647,-0.6766,85.8476,13.4484,85.1907,115.0653,20.2974,157.5482,32.8395,,32.8395,,114.6639,,84.7273,,85.10600000000001,
34,181780,002258.XSHE,2022-12-31,2023-03-02,2022-12-31,2.4251,1846382253.62,2418516988.08,-13433532.76,29.599,30.1526,17.5333,19.9777,31.9796,76.1397,23.9571,19.9777,1.1768,7.2306,-0.6809,102.1827,-0.5676,101.8703,84.6926,25.6168,107.3616,56.0787,,56.0787,,77.4901,,74.1692,,69.0139,
35,181781,600955.XSHG,2022-12-31,2023-03-02,2022-12-31,1.11,520684738.33,690994015.75,77788803.26,7.1956,6.1646,6.343,7.7939,10.321,91.139,10.1134,7.7939,0.0378,1.4759,-0.319,87.6577,9.8681,85.6708,112.6088,13.8988,156.8524,-19.0615,,-19.0615,,-72.4099,,-71.7277,,-71.7277,
